id,name,birth_year,eye_color,gender,hair_color,height,mass,skin_color,homeworld,url,created,edited
1,Luke Skywalker,19BBY,blue,male,blond,172,77,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/1/,2014-12-09 13:50:51.644000,2014-12-20 21:17:56.891000
2,C-3PO,112BBY,yellow,n/a,n/a,167,75,gold,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/2/,2014-12-10 15:10:51.357000,2014-12-20 21:17:50.309000
3,R2-D2,33BBY,red,n/a,n/a,96,32,"white, blue",https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/3/,2014-12-10 15:11:50.376000,2014-12-20 21:17:50.311000
4,Darth Vader,41.9BBY,yellow,male,none,202,136,white,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/4/,2014-12-10 15:18:20.704000,2014-12-20 21:17:50.313000
5,Leia Organa,19BBY,brown,female,brown,150,49,light,https://swapi.dev/api/planets/2/,https://swapi.dev/api/people/5/,2014-12-10 15:20:09.791000,2014-12-20 21:17:50.315000
6,Owen Lars,52BBY,blue,male,"brown, grey",178,120,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/6/,2014-12-10 15:52:14.024000,2014-12-20 21:17:50.317000
7,Beru Whitesun lars,47BBY,blue,female,brown,165,75,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/7/,2014-12-10 15:53:41.121000,2014-12-20 21:17:50.319000
8,R5-D4,unknown,red,n/a,n/a,97,32,"white, red",https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/8/,2014-12-10 15:57:50.959000,2014-12-20 21:17:50.321000
9,Biggs Darklighter,24BBY,brown,male,black,183,84,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/9/,2014-12-10 15:59:50.509000,2014-12-20 21:17:50.323000
10,Obi-Wan Kenobi,57BBY,blue-gray,male,"auburn, white",182,77,fair,https://swapi.dev/api/planets/20/,https://swapi.dev/api/people/10/,2014-12-10 16:16:29.192000,2014-12-20 21:17:50.325000
11,Anakin Skywalker,41.9BBY,blue,male,blond,188,84,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/11/,2014-12-10 16:20:44.310000,2014-12-20 21:17:50.327000
12,Wilhuff Tarkin,64BBY,blue,male,"auburn, grey",180,unknown,fair,https://swapi.dev/api/planets/21/,https://swapi.dev/api/people/12/,2014-12-10 16:26:56.138000,2014-12-20 21:17:50.330000
13,Chewbacca,200BBY,blue,male,brown,228,112,unknown,https://swapi.dev/api/planets/14/,https://swapi.dev/api/people/13/,2014-12-10 16:42:45.066000,2014-12-20 21:17:50.332000
14,Han Solo,29BBY,brown,male,brown,180,80,fair,https://swapi.dev/api/planets/22/,https://swapi.dev/api/people/14/,2014-12-10 16:49:14.582000,2014-12-20 21:17:50.334000
15,Greedo,44BBY,black,male,n/a,173,74,green,https://swapi.dev/api/planets/23/,https://swapi.dev/api/people/15/,2014-12-10 17:03:30.334000,2014-12-20 21:17:50.336000
16,Jabba Desilijic Tiure,600BBY,orange,hermaphrodite,n/a,175,"1,358","green-tan, brown",https://swapi.dev/api/planets/24/,https://swapi.dev/api/people/16/,2014-12-10 17:11:31.638000,2014-12-20 21:17:50.338000
17,Wedge Antilles,21BBY,hazel,male,brown,170,77,fair,https://swapi.dev/api/planets/22/,https://swapi.dev/api/people/18/,2014-12-12 11:08:06.469000,2014-12-20 21:17:50.341000
18,Jek Tono Porkins,unknown,blue,male,brown,180,110,fair,https://swapi.dev/api/planets/26/,https://swapi.dev/api/people/19/,2014-12-12 11:16:56.569000,2014-12-20 21:17:50.343000
19,Yoda,896BBY,brown,male,white,66,17,green,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/20/,2014-12-15 12:26:01.042000,2014-12-20 21:17:50.345000
20,Palpatine,82BBY,yellow,male,grey,170,75,pale,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/21/,2014-12-15 12:48:05.971000,2014-12-20 21:17:50.347000
21,Boba Fett,31.5BBY,brown,male,black,183,78.2,fair,https://swapi.dev/api/planets/10/,https://swapi.dev/api/people/22/,2014-12-15 12:49:32.457000,2014-12-20 21:17:50.349000
22,IG-88,15BBY,red,none,none,200,140,metal,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/23/,2014-12-15 12:51:10.076000,2014-12-20 21:17:50.351000
23,Bossk,53BBY,red,male,none,190,113,green,https://swapi.dev/api/planets/29/,https://swapi.dev/api/people/24/,2014-12-15 12:53:49.297000,2014-12-20 21:17:50.355000
24,Lando Calrissian,31BBY,brown,male,black,177,79,dark,https://swapi.dev/api/planets/30/,https://swapi.dev/api/people/25/,2014-12-15 12:56:32.683000,2014-12-20 21:17:50.357000
25,Lobot,37BBY,blue,male,none,175,79,light,https://swapi.dev/api/planets/6/,https://swapi.dev/api/people/26/,2014-12-15 13:01:57.178000,2014-12-20 21:17:50.359000
26,Ackbar,41BBY,orange,male,none,180,83,brown mottle,https://swapi.dev/api/planets/31/,https://swapi.dev/api/people/27/,2014-12-18 11:07:50.584000,2014-12-20 21:17:50.362000
27,Mon Mothma,48BBY,blue,female,auburn,150,unknown,fair,https://swapi.dev/api/planets/32/,https://swapi.dev/api/people/28/,2014-12-18 11:12:38.895000,2014-12-20 21:17:50.364000
28,Arvel Crynyd,unknown,brown,male,brown,unknown,unknown,fair,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/29/,2014-12-18 11:16:33.020000,2014-12-20 21:17:50.367000
29,Wicket Systri Warrick,8BBY,brown,male,brown,88,20,brown,https://swapi.dev/api/planets/7/,https://swapi.dev/api/people/30/,2014-12-18 11:21:58.954000,2014-12-20 21:17:50.369000
30,Nien Nunb,unknown,black,male,none,160,68,grey,https://swapi.dev/api/planets/33/,https://swapi.dev/api/people/31/,2014-12-18 11:26:18.541000,2014-12-20 21:17:50.371000
31,Qui-Gon Jinn,92BBY,blue,male,brown,193,89,fair,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/32/,2014-12-19 16:54:53.618000,2014-12-20 21:17:50.375000
32,Nute Gunray,unknown,red,male,none,191,90,mottled green,https://swapi.dev/api/planets/18/,https://swapi.dev/api/people/33/,2014-12-19 17:05:57.357000,2014-12-20 21:17:50.377000
33,Finis Valorum,91BBY,blue,male,blond,170,unknown,fair,https://swapi.dev/api/planets/9/,https://swapi.dev/api/people/34/,2014-12-19 17:21:45.915000,2014-12-20 21:17:50.379000
34,Padmé Amidala,46BBY,brown,female,brown,185,45,light,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/35/,2014-12-19 17:28:26.926000,2014-12-20 21:17:50.381000
35,Jar Jar Binks,52BBY,orange,male,none,196,66,orange,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/36/,2014-12-19 17:29:32.489000,2014-12-20 21:17:50.383000
36,Roos Tarpals,unknown,orange,male,none,224,82,grey,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/37/,2014-12-19 17:32:56.741000,2014-12-20 21:17:50.385000
37,Rugor Nass,unknown,orange,male,none,206,unknown,green,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/38/,2014-12-19 17:33:38.909000,2014-12-20 21:17:50.388000
38,Ric Olié,unknown,blue,male,brown,183,unknown,fair,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/39/,2014-12-19 17:45:01.522000,2014-12-20 21:17:50.392000
39,Watto,unknown,yellow,male,black,137,unknown,"blue, grey",https://swapi.dev/api/planets/34/,https://swapi.dev/api/people/40/,2014-12-19 17:48:54.647000,2014-12-20 21:17:50.395000
40,Sebulba,unknown,orange,male,none,112,40,"grey, red",https://swapi.dev/api/planets/35/,https://swapi.dev/api/people/41/,2014-12-19 17:53:02.586000,2014-12-20 21:17:50.397000
41,Quarsh Panaka,62BBY,brown,male,black,183,unknown,dark,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/42/,2014-12-19 17:55:43.348000,2014-12-20 21:17:50.399000
42,Shmi Skywalker,72BBY,brown,female,black,163,unknown,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/43/,2014-12-19 17:57:41.191000,2014-12-20 21:17:50.401000
43,Darth Maul,54BBY,yellow,male,none,175,80,red,https://swapi.dev/api/planets/36/,https://swapi.dev/api/people/44/,2014-12-19 18:00:41.929000,2014-12-20 21:17:50.403000
44,Bib Fortuna,unknown,pink,male,none,180,unknown,pale,https://swapi.dev/api/planets/37/,https://swapi.dev/api/people/45/,2014-12-20 09:47:02.512000,2014-12-20 21:17:50.407000
45,Ayla Secura,48BBY,hazel,female,none,178,55,blue,https://swapi.dev/api/planets/37/,https://swapi.dev/api/people/46/,2014-12-20 09:48:01.172000,2014-12-20 21:17:50.409000
46,Ratts Tyerel,unknown,unknown,male,none,79,15,"grey, blue",https://swapi.dev/api/planets/38/,https://swapi.dev/api/people/47/,2014-12-20 09:53:15.086000,2014-12-20 21:17:50.410000
47,Dud Bolt,unknown,yellow,male,none,94,45,"blue, grey",https://swapi.dev/api/planets/39/,https://swapi.dev/api/people/48/,2014-12-20 09:57:31.858000,2014-12-20 21:17:50.414000
48,Gasgano,unknown,black,male,none,122,unknown,"white, blue",https://swapi.dev/api/planets/40/,https://swapi.dev/api/people/49/,2014-12-20 10:02:12.223000,2014-12-20 21:17:50.416000
49,Ben Quadinaros,unknown,orange,male,none,163,65,"grey, green, yellow",https://swapi.dev/api/planets/41/,https://swapi.dev/api/people/50/,2014-12-20 10:08:33.777000,2014-12-20 21:17:50.417000
50,Mace Windu,72BBY,brown,male,none,188,84,dark,https://swapi.dev/api/planets/42/,https://swapi.dev/api/people/51/,2014-12-20 10:12:30.846000,2014-12-20 21:17:50.420000
51,Ki-Adi-Mundi,92BBY,yellow,male,white,198,82,pale,https://swapi.dev/api/planets/43/,https://swapi.dev/api/people/52/,2014-12-20 10:15:32.293000,2014-12-20 21:17:50.422000
52,Kit Fisto,unknown,black,male,none,196,87,green,https://swapi.dev/api/planets/44/,https://swapi.dev/api/people/53/,2014-12-20 10:18:57.202000,2014-12-20 21:17:50.424000
53,Eeth Koth,unknown,brown,male,black,171,unknown,brown,https://swapi.dev/api/planets/45/,https://swapi.dev/api/people/54/,2014-12-20 10:26:47.902000,2014-12-20 21:17:50.427000
54,Adi Gallia,unknown,blue,female,none,184,50,dark,https://swapi.dev/api/planets/9/,https://swapi.dev/api/people/55/,2014-12-20 10:29:11.661000,2014-12-20 21:17:50.432000
55,Saesee Tiin,unknown,orange,male,none,188,unknown,pale,https://swapi.dev/api/planets/47/,https://swapi.dev/api/people/56/,2014-12-20 10:32:11.669000,2014-12-20 21:17:50.434000
56,Yarael Poof,unknown,yellow,male,none,264,unknown,white,https://swapi.dev/api/planets/48/,https://swapi.dev/api/people/57/,2014-12-20 10:34:48.725000,2014-12-20 21:17:50.437000
57,Plo Koon,22BBY,black,male,none,188,80,orange,https://swapi.dev/api/planets/49/,https://swapi.dev/api/people/58/,2014-12-20 10:49:19.859000,2014-12-20 21:17:50.439000
58,Mas Amedda,unknown,blue,male,none,196,unknown,blue,https://swapi.dev/api/planets/50/,https://swapi.dev/api/people/59/,2014-12-20 10:53:26.457000,2014-12-20 21:17:50.442000
59,Gregar Typho,unknown,brown,male,black,185,85,dark,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/60/,2014-12-20 11:10:10.381000,2014-12-20 21:17:50.445000
60,Cordé,unknown,brown,female,brown,157,unknown,light,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/61/,2014-12-20 11:11:39.630000,2014-12-20 21:17:50.449000
61,Cliegg Lars,82BBY,blue,male,brown,183,unknown,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/62/,2014-12-20 15:59:03.958000,2014-12-20 21:17:50.451000
62,Poggle the Lesser,unknown,yellow,male,none,183,80,green,https://swapi.dev/api/planets/11/,https://swapi.dev/api/people/63/,2014-12-20 16:40:43.977000,2014-12-20 21:17:50.453000
63,Luminara Unduli,58BBY,blue,female,black,170,56.2,yellow,https://swapi.dev/api/planets/51/,https://swapi.dev/api/people/64/,2014-12-20 16:45:53.668000,2014-12-20 21:17:50.455000
64,Barriss Offee,40BBY,blue,female,black,166,50,yellow,https://swapi.dev/api/planets/51/,https://swapi.dev/api/people/65/,2014-12-20 16:46:40.440000,2014-12-20 21:17:50.457000
65,Dormé,unknown,brown,female,brown,165,unknown,light,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/66/,2014-12-20 16:49:14.640000,2014-12-20 21:17:50.460000
66,Dooku,102BBY,brown,male,white,193,80,fair,https://swapi.dev/api/planets/52/,https://swapi.dev/api/people/67/,2014-12-20 16:52:14.726000,2014-12-20 21:17:50.462000
67,Bail Prestor Organa,67BBY,brown,male,black,191,unknown,tan,https://swapi.dev/api/planets/2/,https://swapi.dev/api/people/68/,2014-12-20 16:53:08.575000,2014-12-20 21:17:50.463000
68,Jango Fett,66BBY,brown,male,black,183,79,tan,https://swapi.dev/api/planets/53/,https://swapi.dev/api/people/69/,2014-12-20 16:54:41.620000,2014-12-20 21:17:50.465000
69,Zam Wesell,unknown,yellow,female,blonde,168,55,"fair, green, yellow",https://swapi.dev/api/planets/54/,https://swapi.dev/api/people/70/,2014-12-20 16:57:44.471000,2014-12-20 21:17:50.468000
70,Dexter Jettster,unknown,yellow,male,none,198,102,brown,https://swapi.dev/api/planets/55/,https://swapi.dev/api/people/71/,2014-12-20 17:28:27.248000,2014-12-20 21:17:50.470000
71,Lama Su,unknown,black,male,none,229,88,grey,https://swapi.dev/api/planets/10/,https://swapi.dev/api/people/72/,2014-12-20 17:30:50.416000,2014-12-20 21:17:50.473000
72,Taun We,unknown,black,female,none,213,unknown,grey,https://swapi.dev/api/planets/10/,https://swapi.dev/api/people/73/,2014-12-20 17:31:21.195000,2014-12-20 21:17:50.474000
73,Jocasta Nu,unknown,blue,female,white,167,unknown,fair,https://swapi.dev/api/planets/9/,https://swapi.dev/api/people/74/,2014-12-20 17:32:51.996000,2014-12-20 21:17:50.476000
74,R4-P17,unknown,"red, blue",female,none,96,unknown,"silver, red",https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/75/,2014-12-20 17:43:36.409000,2014-12-20 21:17:50.478000
75,Wat Tambor,unknown,unknown,male,none,193,48,"green, grey",https://swapi.dev/api/planets/56/,https://swapi.dev/api/people/76/,2014-12-20 17:53:52.607000,2014-12-20 21:17:50.481000
76,San Hill,unknown,gold,male,none,191,unknown,grey,https://swapi.dev/api/planets/57/,https://swapi.dev/api/people/77/,2014-12-20 17:58:17.049000,2014-12-20 21:17:50.484000
77,Shaak Ti,unknown,black,female,none,178,57,"red, blue, white",https://swapi.dev/api/planets/58/,https://swapi.dev/api/people/78/,2014-12-20 18:44:01.103000,2014-12-20 21:17:50.486000
78,Grievous,unknown,"green, yellow",male,none,216,159,"brown, white",https://swapi.dev/api/planets/59/,https://swapi.dev/api/people/79/,2014-12-20 19:43:53.348000,2014-12-20 21:17:50.488000
79,Tarfful,unknown,blue,male,brown,234,136,brown,https://swapi.dev/api/planets/14/,https://swapi.dev/api/people/80/,2014-12-20 19:46:34.209000,2014-12-20 21:17:50.491000
80,Raymus Antilles,unknown,brown,male,brown,188,79,light,https://swapi.dev/api/planets/2/,https://swapi.dev/api/people/81/,2014-12-20 19:49:35.583000,2014-12-20 21:17:50.493000
81,Sly Moore,unknown,white,female,none,178,48,pale,https://swapi.dev/api/planets/60/,https://swapi.dev/api/people/82/,2014-12-20 20:18:37.619000,2014-12-20 21:17:50.496000
82,Tion Medon,unknown,black,male,none,206,80,grey,https://swapi.dev/api/planets/12/,https://swapi.dev/api/people/83/,2014-12-20 20:35:04.260000,2014-12-20 21:17:50.498000
